Hero,∑,W,L,WR%,Image,Icon,Role,Dominant Role
Cici,1,0,1,0.0,https://static.wikia.nocookie.net/mobile-legends/images/9/93/Cici_%28Buoyant_Performer%29.jpg/revision/latest/scale-to-width-down/1000?cb=20231225022617,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_60e3e11da30f404c77fff9e22d3bdc72.png,Fighter,Fighter
Claude,39,17,22,43.58974358974359,https://static.wikia.nocookie.net/mobile-legends/images/2/20/Claude_%28Master_Thief%29.jpg/revision/latest/scale-to-width-down/1000?cb=20211202234638,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_e1097b9d3e1d5e9f14600d32e8b18acd.png,Marksman,Marksman
Clint,9,4,5,44.44444444444444,https://static.wikia.nocookie.net/mobile-legends/images/1/19/Clint_%28West_Justice%29.jpg/revision/latest/scale-to-width-down/1000?cb=20240719052533,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_5a8345c69a4c9c611fdfce91089fe74a.png,Marksman,Marksman
Cyclops,0,0,0,,https://static.wikia.nocookie.net/mobile-legends/images/0/0d/Cyclops_%28Starsoul_Magician%29.jpg/revision/latest/scale-to-width-down/1000?cb=20230902072937,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_68da456f9c01b2f88d29ee320db181ed.png,Mage,Mage
Diggie,0,0,0,,https://static.wikia.nocookie.net/mobile-legends/images/1/11/Diggie_%28Timekeeper%29.jpg/revision/latest/scale-to-width-down/1000?cb=20200815122437,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_b1bdf46136cb8a7903dae6d58e8349cb.png,Support,Support
Dyrroth,0,0,0,,https://static.wikia.nocookie.net/mobile-legends/images/9/98/Dyrroth_%28Prince_of_the_Abyss%29.jpg/revision/latest/scale-to-width-down/1000?cb=20200818083813,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_050b3045a7fd2b37f1017557f5695ca6.png,Fighter,Fighter
Edith,98,47,51,47.95918367346938,https://static.wikia.nocookie.net/mobile-legends/images/a/a4/Edith_%28Ancient_Guard%29.jpg/revision/latest/scale-to-width-down/1000?cb=20211221193138,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_daab57918de01a6d5bb2ed6f45808a7e.png,Tank/ Marksman,Tank
Esmeralda,0,0,0,,https://static.wikia.nocookie.net/mobile-legends/images/9/9e/Esmeralda_%28Astrologer%29.jpg/revision/latest/scale-to-width-down/1000?cb=20200427041318,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_4661a64a2c6b724e7b67032fcbface27.png,Tank/ Mage,Tank
Estes,0,0,0,,https://static.wikia.nocookie.net/mobile-legends/images/8/88/Estes_%28Moon_Elf_King%29.jpg/revision/latest/scale-to-width-down/1000?cb=20200514034311,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_ff4de3b0aabd1d2f6e184db1c831f6a9.png,Support,Support
Eudora,0,0,0,,https://static.wikia.nocookie.net/mobile-legends/images/1/11/Eudora_%28Lightning_Weaver%29.jpg/revision/latest/scale-to-width-down/1000?cb=20201009123709,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_60956060c4cbb86f3c6343da05b70568.png,Mage,Mage
Fanny,21,6,15,28.57142857142857,https://static.wikia.nocookie.net/mobile-legends/images/a/ac/Fanny_%28Blade_Dancer%29.jpg/revision/latest/scale-to-width-down/1000?cb=20220206153547,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_3391df36d6dcc54dd1c417098e15ec59.png,Assassin,Assassin
Faramis,50,33,17,66.0,https://static.wikia.nocookie.net/mobile-legends/images/5/57/Faramis_%28Soul_Binder%29.jpg/revision/latest/scale-to-width-down/1000?cb=20220814094208,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_04e575d648d7f7ac1174f4369595c3a2.png,Support/ Mage,Support
Floryn,0,0,0,,https://static.wikia.nocookie.net/mobile-legends/images/4/4f/Floryn_%28The_Budding_Hope%29.jpg/revision/latest/scale-to-width-down/1000?cb=20220218134532,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_5a57b91e4914cf071a3849e352e530a5.png,Support,Support
Franco,15,8,7,53.333333333333336,https://static.wikia.nocookie.net/mobile-legends/images/f/f8/Franco_%28Frozen_Warrior%29.jpg/revision/latest/scale-to-width-down/1000?cb=20200421010136,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_2928027062e3c2a97bc3fd4a84897012.png,Tank,Tank
Fredrinn,2,2,0,100.0,https://static.wikia.nocookie.net/mobile-legends/images/3/33/Fredrinn_%28Rogue_Appraiser%29.jpg/revision/latest/scale-to-width-down/1000?cb=20220814094221,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_dea170bfd5f26c41fb04e5edf72afedb.png,Fighter/ Tank,Fighter
Freya,0,0,0,,https://static.wikia.nocookie.net/mobile-legends/images/4/44/Freya_%28Valkyrie%29.jpg/revision/latest/scale-to-width-down/1000?cb=20231029210923,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_85ecfab713c877196d4b9e44a2aa2f6a.png,Fighter,Fighter
Gatotkaca,50,25,25,50.0,https://static.wikia.nocookie.net/mobile-legends/images/5/54/Gatotkaca_%28Iron_Steel%29.jpg/revision/latest/scale-to-width-down/1000?cb=20231029221857,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_96f9dbbc096e0f0a28f9b9e587d06a9c.png,Tank/ Fighter,Tank
Gloo,7,2,5,28.57142857142857,https://static.wikia.nocookie.net/mobile-legends/images/1/17/Gloo_%28Swamp_Spirits%29.jpg/revision/latest/scale-to-width-down/1000?cb=20220218134437,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_25997baec7261115e697d2837a44182e.png,Tank,Tank
Gord,0,0,0,,https://static.wikia.nocookie.net/mobile-legends/images/1/1a/Gord_%28Professor_of_the_Mystics%29.jpg/revision/latest/scale-to-width-down/1000?cb=20231104060105,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_8e459d236f8839e9db8a9af76bfaa333.png,Mage,Mage
Granger,0,0,0,,https://static.wikia.nocookie.net/mobile-legends/images/9/9e/Granger_%28Death_Chanter%29.jpg/revision/latest/scale-to-width-down/1000?cb=20211010075210,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_d71d2691e6aca922a028a7e6b4b53648.png,Marksman,Marksman
Grock,20,9,11,45.0,https://static.wikia.nocookie.net/mobile-legends/images/a/ae/Grock_%28Fortress_Titan%29.jpg/revision/latest/scale-to-width-down/1000?cb=20231104061000,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_36822d5dd75500966a5e0febc7dff059.png,Tank/ Fighter,Tank
Guinevere,2,1,1,50.0,https://static.wikia.nocookie.net/mobile-legends/images/f/f6/Guinevere_%28Ms._Violet%29.jpg/revision/latest/scale-to-width-down/1000?cb=20200427090203,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_901bdd5d4432a2c0290dfc71df615a5a.png,Fighter,Fighter
Gusion,0,0,0,,https://static.wikia.nocookie.net/mobile-legends/images/7/7f/Gusion_%28Holy_Blade%29.jpg/revision/latest/scale-to-width-down/1000?cb=20221022091953,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_c6cd232de60da5372a7101a203e56554.png,Assassin,Assassin
Hanabi,2,0,2,0.0,https://static.wikia.nocookie.net/mobile-legends/images/5/5c/Hanabi_%28Scarlet_Flower%29.jpg/revision/latest/scale-to-width-down/1000?cb=20230308110952,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_8a9c1966feb34e85d7bdcc1ed01ffb5d.png,Marksman,Marksman
Hanzo,0,0,0,,https://static.wikia.nocookie.net/mobile-legends/images/1/12/Hanzo_%28Akuma_Ninja%29.jpg/revision/latest/scale-to-width-down/1000?cb=20200818083812,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_b07dccc76d66453f7d5c779b1b0f9370.png,Assassin,Assassin
Harith,77,44,33,57.14285714285714,https://static.wikia.nocookie.net/mobile-legends/images/8/89/Harith_%28Time_Traveler%29.jpg/revision/latest/scale-to-width-down/1000?cb=20240326070049,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_d228a823b477fdf6c458c829c2e62bcf.png,Mage,Mage
Harley,0,0,0,,https://static.wikia.nocookie.net/mobile-legends/images/8/8a/Harley_%28Mage_Genius%29.jpg/revision/latest/scale-to-width-down/1000?cb=20230819021629,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_3aa6964c07a70f9b125da447f320e1ac.png,Assassin/ Mage,Assassin
Hayabusa,46,22,24,47.82608695652174,https://static.wikia.nocookie.net/mobile-legends/images/5/5c/Hayabusa_%28Crimson_Shadow%29.jpg/revision/latest/scale-to-width-down/1000?cb=20211217224554,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_9cc074562291a02644a0ddae28eeaa42.png,Assassin,Assassin
Helcurt,2,1,1,50.0,https://static.wikia.nocookie.net/mobile-legends/images/3/39/Helcurt_%28Shadowbringer%29.jpg/revision/latest/scale-to-width-down/1000?cb=20240424080504,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_6abf0c552b59b8ca4cbc1af3662ef176.png,Assassin,Assassin
Hilda,6,5,1,83.33333333333334,https://static.wikia.nocookie.net/mobile-legends/images/7/70/Hilda_%28Power_of_Megalith%29.jpg/revision/latest/scale-to-width-down/1000?cb=20240310142524,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_acd700708dc515f5c63a08f8835a9941.png,Fighter/ Tank,Fighter
Hylos,76,43,33,56.57894736842105,https://static.wikia.nocookie.net/mobile-legends/images/e/e6/Hylos_%28Grand_Warden%29.jpg/revision/latest/scale-to-width-down/1000?cb=20200911145039,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_195ad9af866afaab415ae23a6be13b45.png,Tank,Tank
Irithel,7,5,2,71.42857142857143,https://static.wikia.nocookie.net/mobile-legends/images/2/2b/Irithel_%28Jungle_Heart%29.jpg/revision/latest/scale-to-width-down/1000?cb=20230819021925,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_a7c51b517dbce49dac4e537bd4ab4f87.png,Marksman,Marksman
Ixia,3,2,1,66.66666666666666,https://static.wikia.nocookie.net/mobile-legends/images/2/2c/Ixia_%28Arclight_Outlaw%29.jpg/revision/latest/scale-to-width-down/1000?cb=20240128153646,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_f070d82521ecd2e14d4ef3f25880830a.png,Marksman,Marksman
Jawhead,31,12,19,38.70967741935484,https://static.wikia.nocookie.net/mobile-legends/images/8/89/Jawhead_%28Steel_Sweetheart%29.jpg/revision/latest/scale-to-width-down/1000?cb=20231030014652,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_bd87c30b6c7de6ae3b5aa56162c48c8b.png,Fighter,Fighter
Johnson,0,0,0,,https://static.wikia.nocookie.net/mobile-legends/images/1/14/Johnson_%28Wild_Engine%29.jpg/revision/latest/scale-to-width-down/1000?cb=20231009020910,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_85ff988c6660b4d04f8dd3d40df988bb.png,Tank/ Support,Tank
Joy,14,3,11,21.428571428571427,https://static.wikia.nocookie.net/mobile-legends/images/c/cd/Joy_%28Flash_of_Miracle%29.png/revision/latest?cb=20221024200222,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_d3a3a55c22000ae78732fed8cba2efef.png,Assassin,Assassin
Julian,49,17,32,34.69387755102041,https://static.wikia.nocookie.net/mobile-legends/images/c/c1/Julian_%28Scarlet_Raven%29.jpg/revision/latest/scale-to-width-down/1000?cb=20220317095207,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_5511ddc0ad2789b525f32ef572b017eb.png,Fighter/ Mage,Fighter
Kadita,1,0,1,0.0,https://static.wikia.nocookie.net/mobile-legends/images/4/44/Kadita_%28Ocean_Goddess%29.jpg/revision/latest/scale-to-width-down/1000?cb=20200513055531,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_42b40ae7741d2eb81148c8f1e1ff614c.png,Mage/ Assassin,Mage
Kagura,0,0,0,,https://static.wikia.nocookie.net/mobile-legends/images/f/ff/Kagura_%28Onmyouji_Master%29.jpg/revision/latest/scale-to-width-down/1000?cb=20211212135733,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_da424b020b8ac8235d64a1b8a09aa749.png,Mage,Mage
Kaja,17,7,10,41.17647058823529,https://static.wikia.nocookie.net/mobile-legends/images/0/02/Kaja_Nazar_King.png/revision/latest/scale-to-width-down/1000?cb=20180520202829,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_a23983833ad5bee7c83422c8ff727115.png,Support/ Fighter,Support
Karina,0,0,0,,https://static.wikia.nocookie.net/mobile-legends/images/9/92/Karina_%28Shadow_Blade%29.jpg/revision/latest/scale-to-width-down/1000?cb=20211010063626,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_f49394186dc0e55d545da8377be83280.png,Assassin,Assassin
Karrie,26,11,15,42.30769230769231,https://static.wikia.nocookie.net/mobile-legends/images/6/67/Karrie_%28Lost_Star%29.jpg/revision/latest/scale-to-width-down/1000?cb=20200818083837,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_294576f2bd0dcbcc9041031969d0eb09.png,Marksman,Marksman
Khaleed,36,20,16,55.55555555555556,https://static.wikia.nocookie.net/mobile-legends/images/c/ca/Khaleed_%28Desert_Scimitar%29.jpg/revision/latest/scale-to-width-down/1000?cb=20240403054051,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_540a6a9d343842674ce002082366ec9d.png,Fighter,Fighter
Khufra,16,5,11,31.25,https://static.wikia.nocookie.net/mobile-legends/images/3/31/Khufra_%28Desert_Tyrant%29.jpg/revision/latest/scale-to-width-down/1000?cb=20240327134634,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_2fe99f4001211d18b3d2b95d0d3dc395.png,Tank,Tank
Kimmy,0,0,0,,https://static.wikia.nocookie.net/mobile-legends/images/8/81/Jetpack_Rebel_wall.jpg/revision/latest/scale-to-width-down/1000?cb=20200810124104,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_d1d055377612e96139f2f2ae5d0c3279.png,Marksman/ Mage,Marksman
Lancelot,11,7,4,63.63636363636363,https://static.wikia.nocookie.net/mobile-legends/images/0/0d/Lancelot_%28Blade_of_Roses%29.jpg/revision/latest/scale-to-width-down/1000?cb=20211213023536,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_dc4b821e49b904715172136017798da3.png,Assassin,Assassin
Lapu-Lapu,0,0,0,,https://static.wikia.nocookie.net/mobile-legends/images/6/64/Lapu-Lapu_%28Courageous_Blade%29.jpg/revision/latest/scale-to-width-down/1000?cb=20211215022152,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_28036c4584c914c5aad4d2feeafb2452.png,Fighter,Fighter
Layla,0,0,0,,https://static.wikia.nocookie.net/mobile-legends/images/f/f9/Layla_%28Energy_Gunner%29.jpg/revision/latest/scale-to-width-down/1000?cb=20231009030108,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_b2b38e9406ea0de0b866db7674feea0f.png,Marksman,Marksman
Leomord,0,0,0,,https://static.wikia.nocookie.net/mobile-legends/images/0/0a/Leomord_%28Sworn_Sword%29.jpg/revision/latest/scale-to-width-down/1000?cb=20220814094236,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_554cdf13a7587fe08c5deed60132c61c.png,Fighter,Fighter
Lesley,0,0,0,,https://static.wikia.nocookie.net/mobile-legends/images/4/46/Lesley_%28Deadly_Sniper%29.jpg/revision/latest/scale-to-width-down/1000?cb=20221022092026,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_08770893183018333f54a98e63c41ee3.png,Marksman/ Assassin,Marksman
Ling,49,25,24,51.02040816326531,https://static.wikia.nocookie.net/mobile-legends/images/5/50/Ling_%28Cyan_Finch%29.jpg/revision/latest/scale-to-width-down/1000?cb=20240620010712,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage_92/100_017bade52b9fc94bbc12615de6d75c08.png,Assassin,Assassin
Lolita,10,3,7,30.0,https://static.wikia.nocookie.net/mobile-legends/images/d/dc/Lolita_%28Steel_Elf%29.jpg/revision/latest/scale-to-width-down/1000?cb=20231009015931,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_474cea36a4bfdc7bf7d94530853a99b2.png,Support/ Tank,Support
Lunox,34,17,17,50.0,https://static.wikia.nocookie.net/mobile-legends/images/6/6a/Lunox_%28Twilight_Goddess%29.jpg/revision/latest/scale-to-width-down/1000?cb=20200427113835,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_e162688afdcaf3f6498af30badfe31c5.png,Mage,Mage
Luo Yi,22,14,8,63.63636363636363,https://static.wikia.nocookie.net/mobile-legends/images/1/18/Luo_Yi_%28Yin-yang_Geomancer%29.jpg/revision/latest/scale-to-width-down/1000?cb=20200523052957,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_103541726507f5ce102689f04fe215e8.png,Mage,Mage
Lylia,9,4,5,44.44444444444444,https://static.wikia.nocookie.net/mobile-legends/images/c/cb/Lylia_%28Little_Witch%29.jpg/revision/latest/scale-to-width-down/1000?cb=20200510100008,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_706573f138055c3df3df94948b4f26bd.png,Mage,Mage
Martis,1,0,1,0.0,https://static.wikia.nocookie.net/mobile-legends/images/b/b7/Martis_%28Asura_King%29.jpg/revision/latest/scale-to-width-down/1000?cb=20231029212951,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_cc8124b0eb6ca22d950b000744d69fbf.png,Fighter,Fighter
Masha,1,0,1,0.0,https://static.wikia.nocookie.net/mobile-legends/images/7/7d/Masha_%28Wild-oats_Fist%29.jpg/revision/latest/scale-to-width-down/1000?cb=20200818083823,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_c97a314dc260dfad1311512ddc03f936.png,Fighter/ Tank,Fighter
Mathilda,48,31,17,64.58333333333334,https://static.wikia.nocookie.net/mobile-legends/images/0/04/Mathilda_%28Swift_Plume%29.jpg/revision/latest/scale-to-width-down/1000?cb=20211215022210,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_24d08ed788a9f5984bcf3b732ddcaf04.png,Support/ Assassin,Support
Melissa,2,0,2,0.0,https://static.wikia.nocookie.net/mobile-legends/images/e/ec/Melissa_%28Cursed_Needle%29.jpg/revision/latest/scale-to-width-down/1000?cb=20220301065501,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_1fa7436301fea3f13fbcd4772051d22d.png,Marksman,Marksman
