No.,Composition,Match,T1 Picks,T2 Picks,Win,Lose,WR%,LR%
38,"('Fighter/ Mage', 'Fighter/ Tank', 'Mage', 'Marksman', 'Tank')",3,1,2,2,1,66.66666666666666,33.33333333333334
39,"('Fighter/ Marksman', 'Mage', 'Marksman', 'Tank', 'Tank/ Marksman')",1,0,1,1,0,100.0,0.0
40,"('Fighter/ Mage', 'Fighter/ Tank', 'Mage', 'Marksman', 'Support/ Fighter')",1,1,0,0,1,0.0,100.0
41,"('Fighter', 'Mage', 'Marksman', 'Tank', 'Tank/ Marksman')",2,1,1,1,1,50.0,50.0
42,"('Assassin', 'Fighter', 'Mage', 'Mage', 'Tank')",7,4,3,3,4,42.857142857142854,57.142857142857146
43,"('Fighter', 'Mage', 'Marksman', 'Support/ Assassin', 'Tank/ Marksman')",3,2,1,2,1,66.66666666666666,33.33333333333334
44,"('Assassin', 'Mage', 'Marksman', 'Tank/ Marksman', 'Tank/ Support')",2,0,2,2,0,100.0,0.0
45,"('Assassin/ Fighter', 'Fighter', 'Mage', 'Mage', 'Tank/ Fighter')",1,1,0,1,0,100.0,0.0
46,"('Fighter/ Marksman', 'Mage', 'Mage', 'Tank', 'Tank')",1,0,1,0,1,0.0,100.0
47,"('Fighter', 'Fighter', 'Fighter/ Assassin', 'Mage', 'Mage')",2,2,0,1,1,50.0,50.0
48,"('Fighter/ Marksman', 'Mage', 'Marksman', 'Tank', 'Tank')",1,0,1,0,1,0.0,100.0
49,"('Assassin', 'Fighter', 'Fighter/ Marksman', 'Fighter/ Tank', 'Mage')",2,1,1,1,1,50.0,50.0
50,"('Fighter/ Assassin', 'Fighter/ Mage', 'Mage', 'Marksman', 'Tank/ Marksman')",2,0,2,0,2,0.0,100.0
51,"('Assassin', 'Fighter/ Marksman', 'Mage', 'Tank', 'Tank/ Marksman')",1,1,0,0,1,0.0,100.0
52,"('Assassin', 'Fighter', 'Fighter/ Tank', 'Mage', 'Mage')",5,1,4,2,3,40.0,60.0
53,"('Fighter', 'Mage', 'Mage', 'Tank', 'Tank/ Fighter')",1,1,0,1,0,100.0,0.0
54,"('Fighter', 'Fighter/ Marksman', 'Mage', 'Mage', 'Tank')",1,0,1,1,0,100.0,0.0
55,"('Assassin', 'Fighter/ Assassin', 'Mage', 'Marksman', 'Support/ Assassin')",2,1,1,2,0,100.0,0.0
56,"('Fighter', 'Fighter', 'Fighter/ Tank', 'Mage', 'Mage')",1,1,0,0,1,0.0,100.0
57,"('Fighter', 'Fighter', 'Fighter/ Assassin', 'Fighter/ Marksman', 'Mage')",1,0,1,1,0,100.0,0.0
58,"('Assassin/ Fighter', 'Fighter', 'Fighter', 'Mage', 'Marksman')",1,1,0,0,1,0.0,100.0
59,"('Assassin', 'Mage', 'Support/ Mage', 'Tank', 'Tank/ Marksman')",1,0,1,1,0,100.0,0.0
60,"('Assassin', 'Fighter', 'Fighter', 'Fighter/ Marksman', 'Mage')",3,3,0,2,1,66.66666666666666,33.33333333333334
61,"('Fighter', 'Fighter/ Marksman', 'Mage', 'Support/ Assassin', 'Tank/ Marksman')",2,2,0,1,1,50.0,50.0
62,"('Fighter', 'Fighter/ Tank', 'Mage', 'Marksman', 'Tank/ Fighter')",2,0,2,0,2,0.0,100.0
63,"('Assassin', 'Fighter/ Tank', 'Mage', 'Marksman', 'Tank/ Marksman')",2,1,1,1,1,50.0,50.0
64,"('Assassin', 'Fighter/ Marksman', 'Mage', 'Tank', 'Tank')",2,0,2,1,1,50.0,50.0
65,"('Assassin', 'Fighter', 'Fighter/ Marksman', 'Mage', 'Marksman')",1,0,1,1,0,100.0,0.0
66,"('Assassin', 'Mage', 'Mage', 'Support/ Fighter', 'Tank/ Marksman')",1,0,1,0,1,0.0,100.0
67,"('Fighter', 'Fighter', 'Fighter/ Marksman', 'Mage', 'Marksman')",3,1,2,1,2,33.33333333333333,66.66666666666667
68,"('Assassin', 'Fighter/ Assassin', 'Fighter/ Marksman', 'Mage', 'Support/ Fighter')",1,0,1,0,1,0.0,100.0
69,"('Fighter/ Marksman', 'Fighter/ Tank', 'Mage', 'Mage', 'Tank/ Marksman')",1,1,0,1,0,100.0,0.0
70,"('Assassin', 'Fighter', 'Fighter/ Assassin', 'Mage', 'Mage')",3,2,1,1,2,33.33333333333333,66.66666666666667
71,"('Assassin', 'Fighter', 'Fighter', 'Mage', 'Marksman')",2,1,1,0,2,0.0,100.0
72,"('Assassin', 'Fighter', 'Marksman', 'Support/ Mage', 'Tank/ Marksman')",1,0,1,1,0,100.0,0.0
73,"('Fighter/ Marksman', 'Fighter/ Tank', 'Mage', 'Support/ Mage', 'Tank/ Marksman')",1,1,0,1,0,100.0,0.0
74,"('Assassin', 'Fighter', 'Mage', 'Mage', 'Tank/ Fighter')",5,3,2,2,3,40.0,60.0
75,"('Assassin', 'Fighter', 'Fighter/ Marksman', 'Mage', 'Tank/ Marksman')",1,1,0,0,1,0.0,100.0
76,"('Fighter', 'Fighter/ Mage', 'Mage', 'Marksman', 'Tank')",4,0,4,1,3,25.0,75.0
77,"('Fighter/ Mage', 'Mage', 'Mage', 'Support/ Assassin', 'Tank/ Marksman')",1,0,1,0,1,0.0,100.0
78,"('Fighter', 'Fighter/ Marksman', 'Mage', 'Support/ Mage', 'Tank/ Marksman')",1,1,0,0,1,0.0,100.0
79,"('Assassin', 'Fighter', 'Mage', 'Support/ Mage', 'Tank/ Marksman')",2,2,0,2,0,100.0,0.0
80,"('Assassin', 'Fighter', 'Fighter/ Assassin', 'Fighter/ Marksman', 'Mage')",1,0,1,0,1,0.0,100.0
81,"('Assassin', 'Fighter', 'Fighter/ Marksman', 'Mage', 'Tank')",4,0,4,1,3,25.0,75.0
82,"('Fighter', 'Fighter/ Mage', 'Mage', 'Marksman', 'Tank/ Marksman')",3,2,1,1,2,33.33333333333333,66.66666666666667
83,"('Fighter', 'Fighter/ Mage', 'Fighter/ Tank', 'Mage', 'Marksman')",2,2,0,1,1,50.0,50.0
84,"('Assassin', 'Fighter/ Assassin', 'Mage', 'Mage', 'Tank')",2,2,0,2,0,100.0,0.0
85,"('Assassin', 'Fighter', 'Fighter/ Tank', 'Mage', 'Marksman')",7,4,3,4,3,57.14285714285714,42.85714285714286
86,"('Assassin', 'Mage', 'Marksman', 'Tank', 'Tank/ Fighter')",5,3,2,2,3,40.0,60.0
87,"('Fighter', 'Fighter', 'Fighter/ Mage', 'Mage', 'Marksman')",3,2,1,2,1,66.66666666666666,33.33333333333334
88,"('Assassin', 'Fighter/ Assassin', 'Mage', 'Mage', 'Support/ Tank')",2,2,0,1,1,50.0,50.0
89,"('Fighter', 'Fighter/ Mage', 'Fighter/ Marksman', 'Mage', 'Tank')",3,0,3,1,2,33.33333333333333,66.66666666666667
90,"('Fighter', 'Fighter/ Assassin', 'Fighter/ Marksman', 'Mage', 'Support/ Assassin')",1,1,0,1,0,100.0,0.0
91,"('Assassin', 'Fighter', 'Mage', 'Mage/ Assassin', 'Tank/ Marksman')",1,1,0,0,1,0.0,100.0
92,"('Assassin', 'Mage', 'Support/ Mage', 'Tank', 'Tank/ Fighter')",1,1,0,1,0,100.0,0.0
93,"('Assassin', 'Fighter/ Assassin', 'Mage', 'Mage', 'Tank/ Marksman')",1,0,1,0,1,0.0,100.0
94,"('Fighter', 'Fighter/ Assassin', 'Mage', 'Marksman', 'Tank')",1,1,0,1,0,100.0,0.0
95,"('Assassin/ Fighter', 'Fighter', 'Fighter', 'Mage', 'Mage')",1,0,1,1,0,100.0,0.0
96,"('Fighter', 'Fighter/ Marksman', 'Mage', 'Marksman', 'Support/ Fighter')",1,1,0,1,0,100.0,0.0
97,"('Assassin/ Fighter', 'Fighter', 'Fighter/ Tank', 'Mage', 'Mage')",1,0,1,0,1,0.0,100.0
98,"('Fighter/ Mage', 'Mage', 'Marksman', 'Tank', 'Tank/ Fighter')",2,0,2,1,1,50.0,50.0
99,"('Assassin', 'Fighter/ Tank', 'Mage', 'Support/ Mage', 'Support/ Tank')",1,1,0,1,0,100.0,0.0
100,"('Assassin', 'Mage', 'Marksman', 'Support/ Tank', 'Tank')",2,1,1,1,1,50.0,50.0
101,"('Fighter', 'Fighter/ Mage', 'Mage', 'Marksman', 'Support/ Tank')",2,0,2,0,2,0.0,100.0
102,"('Assassin', 'Mage', 'Support/ Mage', 'Tank/ Fighter', 'Tank/ Fighter')",1,1,0,1,0,100.0,0.0
103,"('Assassin', 'Fighter', 'Fighter/ Tank', 'Marksman', 'Support/ Mage')",1,1,0,0,1,0.0,100.0
104,"('Assassin', 'Fighter', 'Fighter/ Assassin', 'Mage', 'Marksman')",4,2,2,1,3,25.0,75.0
105,"('Assassin', 'Fighter/ Assassin', 'Fighter/ Marksman', 'Support/ Mage', 'Tank')",1,1,0,1,0,100.0,0.0
106,"('Fighter', 'Fighter', 'Mage', 'Support/ Mage', 'Tank/ Marksman')",1,1,0,1,0,100.0,0.0
107,"('Assassin', 'Fighter', 'Mage', 'Marksman', 'Tank/ Support')",3,2,1,2,1,66.66666666666666,33.33333333333334
108,"('Assassin/ Fighter', 'Fighter', 'Fighter/ Marksman', 'Mage', 'Tank/ Marksman')",2,2,0,2,0,100.0,0.0
109,"('Assassin', 'Fighter', 'Mage', 'Marksman', 'Tank/ Fighter')",7,4,3,3,4,42.857142857142854,57.142857142857146
110,"('Fighter', 'Fighter/ Mage', 'Mage', 'Marksman', 'Tank/ Fighter')",3,1,2,1,2,33.33333333333333,66.66666666666667
111,"('Fighter', 'Fighter', 'Fighter', 'Marksman', 'Support/ Mage')",1,1,0,1,0,100.0,0.0
112,"('Fighter/ Mage', 'Mage', 'Marksman', 'Tank/ Fighter', 'Tank/ Marksman')",1,1,0,1,0,100.0,0.0
113,"('Assassin', 'Fighter/ Assassin', 'Mage', 'Marksman', 'Tank')",1,0,1,0,1,0.0,100.0
114,"('Assassin', 'Fighter', 'Mage', 'Support', 'Tank')",3,3,0,2,1,66.66666666666666,33.33333333333334
115,"('Fighter', 'Mage', 'Support', 'Tank', 'Tank')",1,0,1,0,1,0.0,100.0
116,"('Fighter', 'Fighter/ Tank', 'Mage', 'Marksman', 'Tank/ Marksman')",1,0,1,1,0,100.0,0.0
117,"('Assassin', 'Fighter', 'Fighter/ Marksman', 'Mage', 'Tank/ Fighter')",1,1,0,0,1,0.0,100.0
118,"('Fighter', 'Mage', 'Marksman', 'Support/ Tank', 'Tank')",1,0,1,1,0,100.0,0.0
119,"('Assassin', 'Fighter/ Tank', 'Mage', 'Support/ Mage', 'Tank')",2,1,1,0,2,0.0,100.0
120,"('Fighter/ Marksman', 'Fighter/ Tank', 'Mage', 'Marksman', 'Tank')",1,1,0,0,1,0.0,100.0
121,"('Assassin', 'Fighter', 'Fighter', 'Mage', 'Mage')",1,0,1,1,0,100.0,0.0
122,"('Fighter', 'Fighter/ Marksman', 'Mage', 'Tank', 'Tank/ Marksman')",1,0,1,0,1,0.0,100.0
123,"('Fighter/ Mage', 'Mage', 'Marksman', 'Support/ Tank', 'Tank')",2,1,1,0,2,0.0,100.0
124,"('Assassin', 'Fighter', 'Mage', 'Marksman', 'Support/ Assassin')",2,2,0,1,1,50.0,50.0
125,"('Fighter', 'Fighter/ Tank', 'Mage', 'Marksman', 'Support/ Tank')",1,0,1,1,0,100.0,0.0
126,"('Fighter', 'Fighter/ Assassin', 'Mage', 'Mage', 'Tank/ Fighter')",1,1,0,1,0,100.0,0.0
127,"('Assassin', 'Fighter/ Tank', 'Mage', 'Mage', 'Support')",1,0,1,0,1,0.0,100.0
128,"('Fighter', 'Mage', 'Marksman', 'Tank/ Fighter', 'Tank/ Marksman')",1,1,0,0,1,0.0,100.0
129,"('Assassin', 'Mage', 'Mage', 'Support/ Tank', 'Tank')",2,0,2,1,1,50.0,50.0
130,"('Fighter', 'Fighter/ Tank', 'Mage', 'Mage', 'Tank/ Marksman')",1,0,1,0,1,0.0,100.0
131,"('Fighter', 'Fighter/ Tank', 'Mage', 'Mage', 'Support/ Tank')",1,0,1,1,0,100.0,0.0
132,"('Assassin', 'Fighter', 'Fighter/ Marksman', 'Mage', 'Support/ Assassin')",1,1,0,1,0,100.0,0.0
133,"('Fighter/ Mage', 'Fighter/ Tank', 'Mage', 'Marksman', 'Tank/ Fighter')",1,0,1,0,1,0.0,100.0
134,"('Assassin', 'Mage', 'Marksman', 'Support/ Fighter', 'Tank/ Marksman')",2,1,1,0,2,0.0,100.0
135,"('Fighter', 'Fighter', 'Fighter/ Marksman', 'Mage', 'Tank')",1,0,1,1,0,100.0,0.0
136,"('Assassin', 'Mage', 'Marksman', 'Support/ Tank', 'Tank/ Marksman')",1,1,0,1,0,100.0,0.0
137,"('Fighter', 'Fighter/ Assassin', 'Fighter/ Marksman', 'Mage', 'Tank')",1,0,1,1,0,100.0,0.0
138,"('Assassin', 'Fighter/ Assassin', 'Mage', 'Mage', 'Tank/ Fighter')",2,1,1,1,1,50.0,50.0
139,"('Assassin', 'Fighter', 'Mage', 'Mage', 'Tank/ Marksman')",2,0,2,1,1,50.0,50.0
140,"('Fighter', 'Fighter/ Tank', 'Mage', 'Marksman', 'Support/ Assassin')",1,1,0,1,0,100.0,0.0
141,"('Fighter/ Mage', 'Mage', 'Marksman', 'Support/ Tank', 'Tank/ Marksman')",1,1,0,1,0,100.0,0.0
142,"('Fighter/ Mage', 'Mage', 'Mage', 'Support/ Tank', 'Tank/ Marksman')",1,1,0,0,1,0.0,100.0
143,"('Assassin', 'Fighter', 'Fighter', 'Mage', 'Support/ Mage')",1,0,1,1,0,100.0,0.0
144,"('Fighter', 'Fighter/ Marksman', 'Mage', 'Mage', 'Tank/ Fighter')",1,1,0,0,1,0.0,100.0
145,"('Fighter/ Marksman', 'Mage', 'Marksman', 'Support/ Assassin', 'Tank/ Marksman')",1,0,1,1,0,100.0,0.0
146,"('Assassin', 'Fighter/ Assassin', 'Mage', 'Marksman', 'Support/ Tank')",1,1,0,0,1,0.0,100.0
147,"('Fighter/ Marksman', 'Mage', 'Mage', 'Support/ Fighter', 'Tank/ Marksman')",1,0,1,0,1,0.0,100.0
148,"('Fighter', 'Fighter', 'Mage', 'Support', 'Tank')",1,1,0,1,0,100.0,0.0
149,"('Assassin', 'Fighter/ Marksman', 'Fighter/ Tank', 'Mage', 'Support/ Assassin')",1,0,1,0,1,0.0,100.0
150,"('Assassin', 'Fighter', 'Fighter/ Marksman', 'Support/ Assassin', 'Support/ Mage')",1,0,1,1,0,100.0,0.0
151,"('Fighter/ Marksman', 'Mage', 'Mage', 'Tank', 'Tank/ Fighter')",1,1,0,1,0,100.0,0.0
152,"('Assassin', 'Fighter', 'Fighter/ Tank', 'Mage', 'Tank/ Fighter')",1,0,1,0,1,0.0,100.0
153,"('Fighter/ Assassin', 'Fighter/ Mage', 'Mage', 'Mage', 'Tank/ Fighter')",1,1,0,1,0,100.0,0.0
154,"('Fighter', 'Fighter/ Assassin', 'Mage', 'Mage', 'Tank')",1,0,1,0,1,0.0,100.0
155,"('Fighter', 'Mage', 'Mage', 'Support/ Tank', 'Tank/ Marksman')",1,0,1,0,1,0.0,100.0
156,"('Assassin', 'Fighter/ Assassin', 'Mage', 'Mage/ Tank', 'Tank')",1,0,1,1,0,100.0,0.0
157,"('Assassin', 'Fighter', 'Mage', 'Mage/ Tank', 'Tank')",1,0,1,1,0,100.0,0.0
158,"('Assassin', 'Fighter/ Marksman', 'Fighter/ Tank', 'Mage', 'Tank')",1,0,1,0,1,0.0,100.0
159,"('Assassin', 'Fighter/ Assassin', 'Mage', 'Marksman', 'Support')",1,1,0,0,1,0.0,100.0
160,"('Fighter', 'Fighter/ Marksman', 'Mage', 'Mage', 'Support/ Assassin')",1,0,1,1,0,100.0,0.0
161,"('Assassin', 'Marksman', 'Support/ Fighter', 'Support/ Mage', 'Tank/ Marksman')",3,3,0,3,0,100.0,0.0
162,"('Assassin', 'Fighter/ Assassin', 'Mage', 'Mage/ Tank', 'Tank/ Fighter')",1,0,1,0,1,0.0,100.0
163,"('Assassin', 'Mage', 'Mage', 'Tank', 'Tank/ Marksman')",1,1,0,1,0,100.0,0.0
164,"('Assassin', 'Fighter', 'Marksman', 'Support/ Mage', 'Tank/ Fighter')",2,1,1,1,1,50.0,50.0
165,"('Fighter', 'Mage', 'Marksman', 'Support/ Fighter', 'Tank/ Marksman')",1,0,1,1,0,100.0,0.0
166,"('Assassin', 'Fighter', 'Fighter', 'Marksman', 'Support/ Mage')",1,1,0,0,1,0.0,100.0
167,"('Assassin', 'Mage', 'Mage', 'Tank', 'Tank/ Fighter')",1,0,1,1,0,100.0,0.0
168,"('Fighter', 'Fighter/ Mage', 'Mage', 'Marksman', 'Support/ Assassin')",2,2,0,1,1,50.0,50.0
169,"('Fighter/ Assassin', 'Fighter/ Marksman', 'Mage', 'Marksman', 'Tank/ Fighter')",1,1,0,1,0,100.0,0.0
170,"('Assassin', 'Fighter', 'Mage/ Tank', 'Support/ Mage', 'Tank/ Marksman')",1,0,1,0,1,0.0,100.0
171,"('Fighter', 'Mage', 'Mage', 'Tank', 'Tank/ Marksman')",1,1,0,0,1,0.0,100.0
172,"('Fighter', 'Fighter', 'Mage', 'Mage', 'Tank/ Fighter')",3,1,2,3,0,100.0,0.0
173,"('Assassin', 'Mage', 'Mage', 'Support/ Assassin', 'Tank')",1,0,1,0,1,0.0,100.0
174,"('Assassin', 'Fighter/ Tank', 'Marksman', 'Support/ Fighter', 'Support/ Mage')",1,0,1,1,0,100.0,0.0
175,"('Fighter', 'Mage', 'Mage', 'Support/ Assassin', 'Tank/ Fighter')",1,0,1,1,0,100.0,0.0
176,"('Fighter', 'Fighter/ Mage', 'Mage', 'Mage', 'Tank/ Fighter')",1,1,0,0,1,0.0,100.0
177,"('Fighter', 'Fighter/ Mage', 'Marksman', 'Support/ Assassin', 'Support/ Mage')",1,1,0,1,0,100.0,0.0
178,"('Fighter', 'Fighter', 'Mage', 'Marksman', 'Support/ Fighter')",2,1,1,1,1,50.0,50.0
179,"('Fighter/ Mage', 'Fighter/ Marksman', 'Mage', 'Support/ Fighter', 'Tank/ Marksman')",1,0,1,0,1,0.0,100.0
180,"('Assassin', 'Mage', 'Mage', 'Tank/ Fighter', 'Tank/ Fighter')",1,1,0,1,0,100.0,0.0
181,"('Fighter/ Assassin', 'Mage/ Tank', 'Marksman', 'Support', 'Tank/ Fighter')",2,2,0,1,1,50.0,50.0
182,"('Fighter/ Tank', 'Mage/ Tank', 'Marksman', 'Support', 'Tank/ Fighter')",1,1,0,0,1,0.0,100.0
183,"('Assassin', 'Fighter', 'Fighter', 'Mage', 'Tank/ Fighter')",1,1,0,0,1,0.0,100.0
184,"('Assassin', 'Fighter/ Assassin', 'Mage', 'Marksman', 'Tank/ Fighter')",2,0,2,1,1,50.0,50.0
185,"('Fighter', 'Mage', 'Mage/ Tank', 'Support', 'Tank/ Fighter')",1,1,0,1,0,100.0,0.0
186,"('Assassin', 'Marksman', 'Support/ Mage', 'Tank', 'Tank/ Marksman')",1,0,1,0,1,0.0,100.0
187,"('Assassin', 'Marksman', 'Support/ Mage', 'Tank', 'Tank/ Fighter')",1,0,1,0,1,0.0,100.0
188,"('Assassin/ Fighter', 'Fighter', 'Mage/ Tank', 'Support/ Assassin', 'Tank/ Marksman')",1,1,0,0,1,0.0,100.0
189,"('Fighter', 'Mage', 'Marksman', 'Support/ Assassin', 'Tank/ Fighter')",1,1,0,1,0,100.0,0.0
190,"('Fighter', 'Fighter/ Marksman', 'Mage', 'Mage/ Tank', 'Tank')",1,0,1,0,1,0.0,100.0
191,"('Fighter/ Mage', 'Marksman', 'Support/ Assassin', 'Support/ Mage', 'Tank/ Marksman')",1,0,1,1,0,100.0,0.0
192,"('Fighter', 'Fighter', 'Marksman', 'Support/ Assassin', 'Support/ Mage')",2,1,1,2,0,100.0,0.0
193,"('Assassin', 'Marksman', 'Support/ Mage', 'Tank', 'Tank')",1,1,0,1,0,100.0,0.0
194,"('Assassin', 'Fighter', 'Mage', 'Marksman', 'Support/ Fighter')",1,1,0,0,1,0.0,100.0
195,"('Fighter', 'Mage', 'Marksman', 'Support/ Assassin', 'Tank')",2,0,2,1,1,50.0,50.0
196,"('Fighter', 'Fighter', 'Mage', 'Marksman', 'Support/ Assassin')",1,1,0,1,0,100.0,0.0
197,"('Assassin', 'Fighter', 'Mage', 'Mage/ Tank', 'Tank/ Marksman')",1,0,1,0,1,0.0,100.0
198,"('Fighter', 'Fighter/ Mage', 'Mage', 'Mage', 'Tank')",1,0,1,1,0,100.0,0.0
199,"('Fighter', 'Fighter/ Marksman', 'Marksman', 'Support/ Mage', 'Tank/ Fighter')",1,0,1,0,1,0.0,100.0
200,"('Fighter', 'Fighter', 'Mage', 'Marksman', 'Support/ Tank')",1,0,1,1,0,100.0,0.0
201,"('Assassin', 'Fighter', 'Mage', 'Support', 'Tank/ Fighter')",1,1,0,0,1,0.0,100.0
202,"('Fighter/ Mage', 'Marksman', 'Support/ Mage', 'Tank', 'Tank')",1,0,1,1,0,100.0,0.0
203,"('Assassin', 'Fighter', 'Fighter/ Tank', 'Mage', 'Tank')",1,0,1,0,1,0.0,100.0
204,"('Assassin', 'Fighter', 'Mage', 'Marksman', 'Support')",1,0,1,0,1,0.0,100.0
205,"('Assassin', 'Fighter', 'Marksman', 'Support', 'Support/ Mage')",2,1,1,1,1,50.0,50.0
206,"('Assassin', 'Mage', 'Mage', 'Support', 'Tank')",1,1,0,1,0,100.0,0.0
207,"('Fighter', 'Fighter', 'Marksman', 'Support/ Mage', 'Tank')",1,0,1,0,1,0.0,100.0
208,"('Assassin', 'Mage', 'Mage', 'Tank/ Fighter', 'Tank/ Marksman')",1,0,1,1,0,100.0,0.0
209,"('Assassin', 'Fighter', 'Fighter', 'Marksman', 'Support')",1,1,0,0,1,0.0,100.0
210,"('Assassin', 'Fighter', 'Marksman', 'Support/ Mage', 'Tank')",1,0,1,1,0,100.0,0.0
211,"('Assassin', 'Mage', 'Marksman', 'Support/ Assassin', 'Tank')",1,1,0,1,0,100.0,0.0
212,"('Assassin', 'Fighter', 'Marksman', 'Support', 'Tank')",1,1,0,1,0,100.0,0.0
