Hero,Image,Icon,Role
Grock,https://static.wikia.nocookie.net/mobile-legends/images/a/ae/Grock_%28Fortress_Titan%29.jpg/revision/latest/scale-to-width-down/1000?cb=20231104061000,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_36822d5dd75500966a5e0febc7dff059.png,"Tank, Fighter"
Argus,https://static.wikia.nocookie.net/mobile-legends/images/5/54/Argus_%28Dark_Angel%29.jpg/revision/latest/scale-to-width-down/1000?cb=20210312121415,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_0bd96658e5b8ec578226ea1622bd7231.png,Fighter
Odette,https://static.wikia.nocookie.net/mobile-legends/images/e/e6/Odette_%28Swan_Princess%29.jpg/revision/latest/scale-to-width-down/1000?cb=20211217230122,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_0a8e2a3db4ba0038d4d2932fa5dff306.png,Mage
Lancelot,https://static.wikia.nocookie.net/mobile-legends/images/0/0d/Lancelot_%28Blade_of_Roses%29.jpg/revision/latest/scale-to-width-down/1000?cb=20211213023536,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_dc4b821e49b904715172136017798da3.png,Assassin
Diggie,https://static.wikia.nocookie.net/mobile-legends/images/1/11/Diggie_%28Timekeeper%29.jpg/revision/latest/scale-to-width-down/1000?cb=20200815122437,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_b1bdf46136cb8a7903dae6d58e8349cb.png,Support
Hylos,https://static.wikia.nocookie.net/mobile-legends/images/e/e6/Hylos_%28Grand_Warden%29.jpg/revision/latest/scale-to-width-down/1000?cb=20200911145039,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_195ad9af866afaab415ae23a6be13b45.png,Tank
Zhask,https://static.wikia.nocookie.net/mobile-legends/images/e/e4/Zhask_%28The_King_of_Swarms%29.jpg/revision/latest/scale-to-width-down/1000?cb=20200529124046,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_d8f170087cb2d5b71bb22a0a4664a927.png,Mage
Helcurt,https://static.wikia.nocookie.net/mobile-legends/images/3/39/Helcurt_%28Shadowbringer%29.jpg/revision/latest/scale-to-width-down/1000?cb=20240424080504,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_6abf0c552b59b8ca4cbc1af3662ef176.png,Assassin
Pharsa,https://static.wikia.nocookie.net/mobile-legends/images/0/0c/Pharsa_%28Wings_of_Vengeance%29.jpg/revision/latest/scale-to-width-down/1000?cb=20200818031855,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_10151d43910e62f7aa9ce08df481a20f.png,Mage
Lesley,https://static.wikia.nocookie.net/mobile-legends/images/4/46/Lesley_%28Deadly_Sniper%29.jpg/revision/latest/scale-to-width-down/1000?cb=20221022092026,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_08770893183018333f54a98e63c41ee3.png,"Marksman, Assassin"
Jawhead,https://static.wikia.nocookie.net/mobile-legends/images/8/89/Jawhead_%28Steel_Sweetheart%29.jpg/revision/latest/scale-to-width-down/1000?cb=20231030014652,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_bd87c30b6c7de6ae3b5aa56162c48c8b.png,Fighter
Angela,https://static.wikia.nocookie.net/mobile-legends/images/b/b8/Angela_%28Bunnylove%29.jpg/revision/latest/scale-to-width-down/1000?cb=20200513054334,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_c7e0183956b2c2fd6d3fa0b18fe46917.png,Support
Gusion,https://static.wikia.nocookie.net/mobile-legends/images/7/7f/Gusion_%28Holy_Blade%29.jpg/revision/latest/scale-to-width-down/1000?cb=20221022091953,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_c6cd232de60da5372a7101a203e56554.png,Assassin
Valir,https://static.wikia.nocookie.net/mobile-legends/images/1/1a/Valir_%28Son_of_Flames%29.jpg/revision/latest/scale-to-width-down/1000?cb=20230829113759,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_bf16690876761b80822df90eb3320d69.png,Mage
Martis,https://static.wikia.nocookie.net/mobile-legends/images/b/b7/Martis_%28Asura_King%29.jpg/revision/latest/scale-to-width-down/1000?cb=20231029212951,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_cc8124b0eb6ca22d950b000744d69fbf.png,Fighter
Uranus,https://static.wikia.nocookie.net/mobile-legends/images/7/7e/Uranus_%28Aethereal_Defender%29.jpg/revision/latest/scale-to-width-down/1000?cb=20230829120138,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_2e15a0a506aaecd9b3de40a8cc9f7ec7.png,Tank
Hanabi,https://static.wikia.nocookie.net/mobile-legends/images/5/5c/Hanabi_%28Scarlet_Flower%29.jpg/revision/latest/scale-to-width-down/1000?cb=20230308110952,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_8a9c1966feb34e85d7bdcc1ed01ffb5d.png,Marksman
Chang’e,https://static.wikia.nocookie.net/mobile-legends/images/4/4b/Chang%27e_%28Moon_Palace_Immortal%29.jpg/revision/latest/scale-to-width-down/1000?cb=20200427092750,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_46cfe9c30e8a14f85b4d022496aca274.png,Mage
Kaja,https://static.wikia.nocookie.net/mobile-legends/images/0/02/Kaja_Nazar_King.png/revision/latest/scale-to-width-down/1000?cb=20180520202829,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_a23983833ad5bee7c83422c8ff727115.png,"Support, Fighter"
Selena,https://static.wikia.nocookie.net/mobile-legends/images/7/7a/Selena_%28Abyssal_Witch%29.jpg/revision/latest/scale-to-width-down/1000?cb=20200427092223,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_c3f967121519ae40509c5b2fdf52b19d.png,"Assassin, Mage"
Aldous,https://static.wikia.nocookie.net/mobile-legends/images/5/51/Soul_Contractor_wall.png/revision/latest/scale-to-width-down/1000?cb=20180816134944,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_0eb32187d08f14779585a8be53b83f01.png,Fighter
Claude,https://static.wikia.nocookie.net/mobile-legends/images/2/20/Claude_%28Master_Thief%29.jpg/revision/latest/scale-to-width-down/1000?cb=20211202234638,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_e1097b9d3e1d5e9f14600d32e8b18acd.png,Marksman
Vale,https://static.wikia.nocookie.net/mobile-legends/images/1/14/Vale_%28Windtalker%29.jpg/revision/latest/scale-to-width-down/1000?cb=20211010164504,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_2a7a8d1531a1c4f8524880413535348d.png,Mage
Leomord,https://static.wikia.nocookie.net/mobile-legends/images/0/0a/Leomord_%28Sworn_Sword%29.jpg/revision/latest/scale-to-width-down/1000?cb=20220814094236,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_554cdf13a7587fe08c5deed60132c61c.png,Fighter
Lunox,https://static.wikia.nocookie.net/mobile-legends/images/6/6a/Lunox_%28Twilight_Goddess%29.jpg/revision/latest/scale-to-width-down/1000?cb=20200427113835,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_e162688afdcaf3f6498af30badfe31c5.png,Mage
Hanzo,https://static.wikia.nocookie.net/mobile-legends/images/1/12/Hanzo_%28Akuma_Ninja%29.jpg/revision/latest/scale-to-width-down/1000?cb=20200818083812,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_b07dccc76d66453f7d5c779b1b0f9370.png,Assassin
Belerick,https://static.wikia.nocookie.net/mobile-legends/images/5/5c/Belerick_%28Guard_of_Nature%29.jpg/revision/latest/scale-to-width-down/1000?cb=20220715131615,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_5f2a9eca0bafd4ed8dc39a93c771b3af.png,Tank
Kimmy,https://static.wikia.nocookie.net/mobile-legends/images/8/81/Jetpack_Rebel_wall.jpg/revision/latest/scale-to-width-down/1000?cb=20200810124104,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_d1d055377612e96139f2f2ae5d0c3279.png,"Marksman, Mage"
Thamuz,https://static.wikia.nocookie.net/mobile-legends/images/8/80/Thamuz_%28Lord_Lava%29.jpg/revision/latest/scale-to-width-down/1000?cb=20230819031020,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_ff2f7804144608bd495bc7aca9163c5e.png,Fighter
Harith,https://static.wikia.nocookie.net/mobile-legends/images/8/89/Harith_%28Time_Traveler%29.jpg/revision/latest/scale-to-width-down/1000?cb=20240326070049,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_d228a823b477fdf6c458c829c2e62bcf.png,Mage
Minsitthar,https://static.wikia.nocookie.net/mobile-legends/images/0/0e/Minsitthar_%28Courageous_Warrior%29.jpg/revision/latest/scale-to-width-down/1000?cb=20230622001705,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_c5d24a1dad6cef21de2698a4ed1d80ce.png,Fighter
Kadita,https://static.wikia.nocookie.net/mobile-legends/images/4/44/Kadita_%28Ocean_Goddess%29.jpg/revision/latest/scale-to-width-down/1000?cb=20200513055531,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_42b40ae7741d2eb81148c8f1e1ff614c.png,"Mage, Assassin"
Faramis,https://static.wikia.nocookie.net/mobile-legends/images/5/57/Faramis_%28Soul_Binder%29.jpg/revision/latest/scale-to-width-down/1000?cb=20220814094208,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_04e575d648d7f7ac1174f4369595c3a2.png,"Support, Mage"
Badang,https://static.wikia.nocookie.net/mobile-legends/images/7/73/Badang_%28Tribal_Warrior%29.jpg/revision/latest/scale-to-width-down/1000?cb=20240327131624,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_9fb1784545a48aef42241fc7a719c575.png,Fighter
Khufra,https://static.wikia.nocookie.net/mobile-legends/images/3/31/Khufra_%28Desert_Tyrant%29.jpg/revision/latest/scale-to-width-down/1000?cb=20240327134634,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_2fe99f4001211d18b3d2b95d0d3dc395.png,Tank
Granger,https://static.wikia.nocookie.net/mobile-legends/images/9/9e/Granger_%28Death_Chanter%29.jpg/revision/latest/scale-to-width-down/1000?cb=20211010075210,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_d71d2691e6aca922a028a7e6b4b53648.png,Marksman
Guinevere,https://static.wikia.nocookie.net/mobile-legends/images/f/f6/Guinevere_%28Ms._Violet%29.jpg/revision/latest/scale-to-width-down/1000?cb=20200427090203,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_901bdd5d4432a2c0290dfc71df615a5a.png,Fighter
Esmeralda,https://static.wikia.nocookie.net/mobile-legends/images/9/9e/Esmeralda_%28Astrologer%29.jpg/revision/latest/scale-to-width-down/1000?cb=20200427041318,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_4661a64a2c6b724e7b67032fcbface27.png,"Tank, Mage"
Terizla,https://static.wikia.nocookie.net/mobile-legends/images/5/56/Terizla_%28Executioner%29.jpg/revision/latest/scale-to-width-down/1000?cb=20200818083821,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_c4bb270c28c7be663f57e993b0d6d3d8.png,"Fighter, Tank"
X.Borg,https://static.wikia.nocookie.net/mobile-legends/images/d/d2/X.Borg_%28Firaga_Armor%29.jpg/revision/latest/scale-to-width-down/1000?cb=20231009020959,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_efe9c7ed8d8f84f1bb0f88a3e08de5fc.png,Fighter
Ling,https://static.wikia.nocookie.net/mobile-legends/images/5/50/Ling_%28Cyan_Finch%29.jpg/revision/latest/scale-to-width-down/1000?cb=20240620010712,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage_92/100_017bade52b9fc94bbc12615de6d75c08.png,Assassin
Dyrroth,https://static.wikia.nocookie.net/mobile-legends/images/9/98/Dyrroth_%28Prince_of_the_Abyss%29.jpg/revision/latest/scale-to-width-down/1000?cb=20200818083813,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_050b3045a7fd2b37f1017557f5695ca6.png,Fighter
Lylia,https://static.wikia.nocookie.net/mobile-legends/images/c/cb/Lylia_%28Little_Witch%29.jpg/revision/latest/scale-to-width-down/1000?cb=20200510100008,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_706573f138055c3df3df94948b4f26bd.png,Mage
Baxia,https://static.wikia.nocookie.net/mobile-legends/images/3/3a/Baxia_%28Mystic_Tortoise%29.jpg/revision/latest/scale-to-width-down/1000?cb=20190926102330,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_80e408203869ca99302af195ac4f756c.png,Tank
Masha,https://static.wikia.nocookie.net/mobile-legends/images/7/7d/Masha_%28Wild-oats_Fist%29.jpg/revision/latest/scale-to-width-down/1000?cb=20200818083823,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_c97a314dc260dfad1311512ddc03f936.png,"Fighter, Tank"
Wanwan,https://static.wikia.nocookie.net/mobile-legends/images/5/50/Wanwan_%28Agile_Tiger%29.jpg/revision/latest/scale-to-width-down/1000?cb=20200816043051,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_e86b93b126725dbb2dd7883174a0ee75.png,Marksman
Silvanna,https://static.wikia.nocookie.net/mobile-legends/images/8/85/Silvanna_%28Imperial_Knightess%29.jpg/revision/latest/scale-to-width-down/1000?cb=20200816042744,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_5e7b297af7c6e32a420b897aa4998071.png,Fighter
Cecilion,https://static.wikia.nocookie.net/mobile-legends/images/2/2b/Embrace_of_Night_wall.jpg/revision/latest/scale-to-width-down/1000?cb=20200815122305,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_045399c265021d47da6512e6de20b64f.png,Mage
Carmilla,https://static.wikia.nocookie.net/mobile-legends/images/8/84/Carmilla_%28Shadow_of_Twilight%29.jpg/revision/latest/scale-to-width-down/1000?cb=20200815122158,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_6fb8f120dafdcbc1b5da2a2667016ad5.png,"Support, Tank"
Atlas,https://static.wikia.nocookie.net/mobile-legends/images/9/92/Ocean_Gladiator_wall.jpg/revision/latest/scale-to-width-down/1000?cb=20200528124541,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_d974ac796678180ff8724b88e192898b.png,Tank
Popol and Kupa,https://static.wikia.nocookie.net/mobile-legends/images/e/e3/Popol_and_Kupa_%28Icefield_Companions%29.jpg/revision/latest/scale-to-width-down/1000?cb=20200816042923,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_1acbb23b9a50f412104047a60eb18808.png,Marksman
